window_start,site,nutrient,concentration
1991-12-24,Q1,k_mgl,1.24
1991-12-24,Q1,mg_mgl,2.9955555555555557
1991-12-24,Q1,ca_mgl,4.971111111111111
1991-12-24,Q1,no3_mgl,187.125
1991-12-24,Q1,nh4_mgl,NA
1992-02-25,Q1,k_mgl,1.1111111111111112
1992-02-25,Q1,mg_mgl,3.578888888888889
1992-02-25,Q1,ca_mgl,6.308888888888889
1992-02-25,Q1,no3_mgl,79.75
1992-02-25,Q1,nh4_mgl,NA
1992-04-28,Q1,k_mgl,1.031111111111111
1992-04-28,Q1,mg_mgl,2.59
1992-04-28,Q1,ca_mgl,4.303333333333334
1992-04-28,Q1,no3_mgl,57.125
1992-04-28,Q1,nh4_mgl,NA
1992-06-30,Q1,k_mgl,1.1466666666666667
1992-06-30,Q1,mg_mgl,3.2455555555555557
1992-06-30,Q1,ca_mgl,5.6066666666666665
1992-06-30,Q1,no3_mgl,140.625
1992-06-30,Q1,nh4_mgl,NA
1992-09-01,Q1,k_mgl,1.0655555555555556
1992-09-01,Q1,mg_mgl,3.517777777777778
1992-09-01,Q1,ca_mgl,6.2
1992-09-01,Q1,no3_mgl,67.71428571428571
1992-09-01,Q1,nh4_mgl,NA
1992-11-03,Q1,k_mgl,0.9622222222222222
1992-11-03,Q1,mg_mgl,2.4955555555555557
1992-11-03,Q1,ca_mgl,4.543333333333333
1992-11-03,Q1,no3_mgl,33
1992-11-03,Q1,nh4_mgl,NA
1993-01-05,Q1,k_mgl,1.1344444444444444
1993-01-05,Q1,mg_mgl,3.181111111111111
1993-01-05,Q1,ca_mgl,4.975555555555555
1993-01-05,Q1,no3_mgl,20
1993-01-05,Q1,nh4_mgl,NA
1993-03-09,Q1,k_mgl,1.1744444444444444
1993-03-09,Q1,mg_mgl,3.671111111111111
1993-03-09,Q1,ca_mgl,5.795555555555556
1993-03-09,Q1,no3_mgl,137.11111111111111
1993-03-09,Q1,nh4_mgl,NA
1993-05-11,Q1,k_mgl,1.1577777777777778
1993-05-11,Q1,mg_mgl,3.2222222222222223
1993-05-11,Q1,ca_mgl,5.611111111111111
1993-05-11,Q1,no3_mgl,28.333333333333332
1993-05-11,Q1,nh4_mgl,NA
1993-07-13,Q1,k_mgl,1.0033333333333334
1993-07-13,Q1,mg_mgl,3.013333333333333
1993-07-13,Q1,ca_mgl,5.467777777777778
1993-07-13,Q1,no3_mgl,44.6
1993-07-13,Q1,nh4_mgl,NA
1993-09-14,Q1,k_mgl,1.1211111111111112
1993-09-14,Q1,mg_mgl,3.3266666666666667
1993-09-14,Q1,ca_mgl,5.921111111111111
1993-09-14,Q1,no3_mgl,28.333333333333332
1993-09-14,Q1,nh4_mgl,NA
1993-11-16,Q1,k_mgl,1.18
1993-11-16,Q1,mg_mgl,3.1688888888888886
1993-11-16,Q1,ca_mgl,5.688888888888889
1993-11-16,Q1,no3_mgl,22.166666666666668
1993-11-16,Q1,nh4_mgl,NA
1994-01-18,Q1,k_mgl,1.0055555555555555
1994-01-18,Q1,mg_mgl,2.951111111111111
1994-01-18,Q1,ca_mgl,5.302222222222222
1994-01-18,Q1,no3_mgl,13.5
1994-01-18,Q1,nh4_mgl,NA
1994-03-22,Q1,k_mgl,1.051111111111111
1994-03-22,Q1,mg_mgl,3.347777777777778
1994-03-22,Q1,ca_mgl,6.14
1994-03-22,Q1,no3_mgl,65.66666666666667
1994-03-22,Q1,nh4_mgl,NA
1994-05-24,Q1,k_mgl,1.21
1994-05-24,Q1,mg_mgl,3.85
1994-05-24,Q1,ca_mgl,6.785
1994-05-24,Q1,no3_mgl,51.22222222222222
1994-05-24,Q1,nh4_mgl,NA
1994-07-26,Q1,k_mgl,1.2377777777777779
1994-07-26,Q1,mg_mgl,3.398888888888889
1994-07-26,Q1,ca_mgl,6.015555555555555
1994-07-26,Q1,no3_mgl,NA
1994-07-26,Q1,nh4_mgl,NA
1994-09-27,Q1,k_mgl,1.12
1994-09-27,Q1,mg_mgl,3.183333333333333
1994-09-27,Q1,ca_mgl,5.921111111111111
1994-09-27,Q1,no3_mgl,NA
1994-09-27,Q1,nh4_mgl,NA
1994-11-29,Q1,k_mgl,1.008
1994-11-29,Q1,mg_mgl,3.036
1994-11-29,Q1,ca_mgl,5.688
1994-11-29,Q1,no3_mgl,109
1994-11-29,Q1,nh4_mgl,NA
1988-01-05,Q2,k_mgl,0.8672222222222222
1988-01-05,Q2,mg_mgl,2.11
1988-01-05,Q2,ca_mgl,4.415555555555556
1988-01-05,Q2,no3_mgl,239.1875
1988-01-05,Q2,nh4_mgl,18.5
1988-03-08,Q2,k_mgl,0.7833333333333333
1988-03-08,Q2,mg_mgl,2.316666666666667
1988-03-08,Q2,ca_mgl,4.243333333333333
1988-03-08,Q2,no3_mgl,192.33333333333334
1988-03-08,Q2,nh4_mgl,27.142857142857142
1988-05-10,Q2,k_mgl,0.7969999999999999
1988-05-10,Q2,mg_mgl,2.119
1988-05-10,Q2,ca_mgl,3.587
1988-05-10,Q2,no3_mgl,239.33333333333334
1988-05-10,Q2,nh4_mgl,74.42857142857143
1988-07-12,Q2,k_mgl,0.7846666666666666
1988-07-12,Q2,mg_mgl,2.0286666666666666
1988-07-12,Q2,ca_mgl,3.446
1988-07-12,Q2,no3_mgl,178.33333333333334
1988-07-12,Q2,nh4_mgl,14
1988-09-13,Q2,k_mgl,0.77
1988-09-13,Q2,mg_mgl,2.37
1988-09-13,Q2,ca_mgl,4.55
1988-09-13,Q2,no3_mgl,205
1988-09-13,Q2,nh4_mgl,47
1988-11-15,Q2,k_mgl,0.8722222222222222
1988-11-15,Q2,mg_mgl,2.3633333333333333
1988-11-15,Q2,ca_mgl,4.161111111111111
1988-11-15,Q2,no3_mgl,220.66666666666666
1988-11-15,Q2,nh4_mgl,NA
1989-01-17,Q2,k_mgl,0.9011111111111111
1989-01-17,Q2,mg_mgl,2.52
1989-01-17,Q2,ca_mgl,4.592222222222222
1989-01-17,Q2,no3_mgl,232.8
1989-01-17,Q2,nh4_mgl,NA
1989-03-21,Q2,k_mgl,0.8766666666666667
1989-03-21,Q2,mg_mgl,2.8766666666666665
1989-03-21,Q2,ca_mgl,4.467777777777778
1989-03-21,Q2,no3_mgl,190.55555555555554
1989-03-21,Q2,nh4_mgl,NA
1989-05-23,Q2,k_mgl,0.9522222222222222
1989-05-23,Q2,mg_mgl,2.5166666666666666
1989-05-23,Q2,ca_mgl,4.615555555555556
1989-05-23,Q2,no3_mgl,166.66666666666666
1989-05-23,Q2,nh4_mgl,NA
1989-07-25,Q2,k_mgl,1.01
1989-07-25,Q2,mg_mgl,2.541111111111111
1989-07-25,Q2,ca_mgl,4.905555555555556
1989-07-25,Q2,no3_mgl,143.25
1989-07-25,Q2,nh4_mgl,NA
1989-09-26,Q2,k_mgl,1.4533333333333334
1989-09-26,Q2,mg_mgl,2.97
1989-09-26,Q2,ca_mgl,5.465454545454546
1989-09-26,Q2,no3_mgl,419.1111111111111
1989-09-26,Q2,nh4_mgl,NA
1989-11-28,Q2,k_mgl,1.2066666666666666
1989-11-28,Q2,mg_mgl,3.1233333333333335
1989-11-28,Q2,ca_mgl,6.613333333333333
1989-11-28,Q2,no3_mgl,239.25
1989-11-28,Q2,nh4_mgl,NA
1990-01-30,Q2,k_mgl,1.3388888888888888
1990-01-30,Q2,mg_mgl,3.0522222222222224
1990-01-30,Q2,ca_mgl,6.53
1990-01-30,Q2,no3_mgl,188
1990-01-30,Q2,nh4_mgl,NA
1990-04-03,Q2,k_mgl,1.3635714285714287
1990-04-03,Q2,mg_mgl,2.4907142857142857
1990-04-03,Q2,ca_mgl,5.1971428571428575
1990-04-03,Q2,no3_mgl,466.7692307692308
1990-04-03,Q2,nh4_mgl,NA
1990-06-05,Q2,k_mgl,1.1311111111111112
1990-06-05,Q2,mg_mgl,3.2088888888888887
1990-06-05,Q2,ca_mgl,6.776666666666666
1990-06-05,Q2,no3_mgl,232.77777777777777
1990-06-05,Q2,nh4_mgl,NA
1990-08-07,Q2,k_mgl,0.9255555555555556
1990-08-07,Q2,mg_mgl,3.2244444444444444
1990-08-07,Q2,ca_mgl,7.187777777777778
1990-08-07,Q2,no3_mgl,121.11111111111111
1990-08-07,Q2,nh4_mgl,NA
1990-10-09,Q2,k_mgl,0.901
1990-10-09,Q2,mg_mgl,2.712
1990-10-09,Q2,ca_mgl,5.773
1990-10-09,Q2,no3_mgl,164.7
1990-10-09,Q2,nh4_mgl,NA
1990-12-11,Q2,k_mgl,0.998
1990-12-11,Q2,mg_mgl,3.08
1990-12-11,Q2,ca_mgl,6.782
1990-12-11,Q2,no3_mgl,182.11111111111111
1990-12-11,Q2,nh4_mgl,NA
1991-02-12,Q2,k_mgl,0.843
1991-02-12,Q2,mg_mgl,2.938
1991-02-12,Q2,ca_mgl,6.742
1991-02-12,Q2,no3_mgl,138.11111111111111
1991-02-12,Q2,nh4_mgl,NA
1991-04-16,Q2,k_mgl,1.01
1991-04-16,Q2,mg_mgl,2.8377777777777777
1991-04-16,Q2,ca_mgl,3.796666666666667
1991-04-16,Q2,no3_mgl,35.75
1991-04-16,Q2,nh4_mgl,NA
1991-06-18,Q2,k_mgl,0.9955555555555555
1991-06-18,Q2,mg_mgl,3.201111111111111
1991-06-18,Q2,ca_mgl,5.316666666666666
1991-06-18,Q2,no3_mgl,81
1991-06-18,Q2,nh4_mgl,NA
1991-08-20,Q2,k_mgl,1.42
1991-08-20,Q2,mg_mgl,2.986
1991-08-20,Q2,ca_mgl,6.027
1991-08-20,Q2,no3_mgl,88.2
1991-08-20,Q2,nh4_mgl,NA
1991-10-22,Q2,k_mgl,1.273076923076923
1991-10-22,Q2,mg_mgl,2.7115384615384617
1991-10-22,Q2,ca_mgl,4.760769230769231
1991-10-22,Q2,no3_mgl,226.69230769230768
1991-10-22,Q2,nh4_mgl,NA
1991-12-24,Q2,k_mgl,1.3033333333333332
1991-12-24,Q2,mg_mgl,2.924444444444444
1991-12-24,Q2,ca_mgl,5.828888888888889
1991-12-24,Q2,no3_mgl,283.8888888888889
1991-12-24,Q2,nh4_mgl,NA
1992-02-25,Q2,k_mgl,1.1222222222222222
1992-02-25,Q2,mg_mgl,3.121111111111111
1992-02-25,Q2,ca_mgl,5.852222222222222
1992-02-25,Q2,no3_mgl,88.125
1992-02-25,Q2,nh4_mgl,NA
1992-04-28,Q2,k_mgl,1.2466666666666666
1992-04-28,Q2,mg_mgl,2.482222222222222
1992-04-28,Q2,ca_mgl,5.24
1992-04-28,Q2,no3_mgl,124.875
1992-04-28,Q2,nh4_mgl,NA
1992-06-30,Q2,k_mgl,1.23
1992-06-30,Q2,mg_mgl,3.26
1992-06-30,Q2,ca_mgl,6.88
1992-06-30,Q2,no3_mgl,108.22222222222223
1992-06-30,Q2,nh4_mgl,NA
1992-09-01,Q2,k_mgl,1.2677777777777777
1992-09-01,Q2,mg_mgl,3.1655555555555557
1992-09-01,Q2,ca_mgl,6.641111111111111
1992-09-01,Q2,no3_mgl,49.125
1992-09-01,Q2,nh4_mgl,NA
1992-11-03,Q2,k_mgl,1.2144444444444444
1992-11-03,Q2,mg_mgl,2.6044444444444443
1992-11-03,Q2,ca_mgl,5.694444444444445
1992-11-03,Q2,no3_mgl,66.28571428571429
1992-11-03,Q2,nh4_mgl,NA
1993-01-05,Q2,k_mgl,1.27
1993-01-05,Q2,mg_mgl,3.181111111111111
1993-01-05,Q2,ca_mgl,6.49
1993-01-05,Q2,no3_mgl,135
1993-01-05,Q2,nh4_mgl,NA
1993-03-09,Q2,k_mgl,1.3044444444444445
1993-03-09,Q2,mg_mgl,3.243333333333333
1993-03-09,Q2,ca_mgl,6.347777777777778
1993-03-09,Q2,no3_mgl,144
1993-03-09,Q2,nh4_mgl,NA
1993-05-11,Q2,k_mgl,1.468888888888889
1993-05-11,Q2,mg_mgl,2.9611111111111112
1993-05-11,Q2,ca_mgl,6.171111111111111
1993-05-11,Q2,no3_mgl,72.75
1993-05-11,Q2,nh4_mgl,NA
1993-07-13,Q2,k_mgl,1.4122222222222223
1993-07-13,Q2,mg_mgl,3.1777777777777776
1993-07-13,Q2,ca_mgl,7.205555555555556
1993-07-13,Q2,no3_mgl,23.5
1993-07-13,Q2,nh4_mgl,NA
1993-09-14,Q2,k_mgl,1.33
1993-09-14,Q2,mg_mgl,2.8533333333333335
1993-09-14,Q2,ca_mgl,6.414444444444444
1993-09-14,Q2,no3_mgl,55.333333333333336
1993-09-14,Q2,nh4_mgl,NA
1993-11-16,Q2,k_mgl,1.4
1993-11-16,Q2,mg_mgl,2.6155555555555554
1993-11-16,Q2,ca_mgl,6.371111111111111
1993-11-16,Q2,no3_mgl,56.666666666666664
1993-11-16,Q2,nh4_mgl,NA
1994-01-18,Q2,k_mgl,1.3533333333333333
1994-01-18,Q2,mg_mgl,2.828888888888889
1994-01-18,Q2,ca_mgl,5.916666666666667
1994-01-18,Q2,no3_mgl,12.333333333333334
1994-01-18,Q2,nh4_mgl,NA
1994-03-22,Q2,k_mgl,1.2733333333333334
1994-03-22,Q2,mg_mgl,3.0566666666666666
1994-03-22,Q2,ca_mgl,6.77
1994-03-22,Q2,no3_mgl,30.166666666666668
1994-03-22,Q2,nh4_mgl,NA
1994-05-24,Q2,k_mgl,1.46125
1994-05-24,Q2,mg_mgl,3.11875
1994-05-24,Q2,ca_mgl,6.51
1994-05-24,Q2,no3_mgl,87.625
1994-05-24,Q2,nh4_mgl,NA
1994-07-26,Q2,k_mgl,0.9500000000000001
1994-07-26,Q2,mg_mgl,1.9333333333333331
1994-07-26,Q2,ca_mgl,3.913333333333333
1994-07-26,Q2,no3_mgl,NA
1994-07-26,Q2,nh4_mgl,NA
1994-09-27,Q2,k_mgl,1.2125
1994-09-27,Q2,mg_mgl,2.125
1994-09-27,Q2,ca_mgl,4.5125
1994-09-27,Q2,no3_mgl,NA
1994-09-27,Q2,nh4_mgl,NA
1994-11-29,Q2,k_mgl,1.292
1994-11-29,Q2,mg_mgl,2.744
1994-11-29,Q2,ca_mgl,5.898
1994-11-29,Q2,no3_mgl,NA
1994-11-29,Q2,nh4_mgl,NA
1988-01-05,Q3,k_mgl,0.728
1988-01-05,Q3,mg_mgl,2.556
1988-01-05,Q3,ca_mgl,3.3953333333333333
1988-01-05,Q3,no3_mgl,165.4375
1988-01-05,Q3,nh4_mgl,33.1764705882353
1988-03-08,Q3,k_mgl,0.5555555555555556
1988-03-08,Q3,mg_mgl,2.6144444444444446
1988-03-08,Q3,ca_mgl,3.4766666666666666
1988-03-08,Q3,no3_mgl,205.22222222222223
1988-03-08,Q3,nh4_mgl,26.333333333333332
1988-05-10,Q3,k_mgl,0.688
1988-05-10,Q3,mg_mgl,2.339
1988-05-10,Q3,ca_mgl,2.613
1988-05-10,Q3,no3_mgl,196
1988-05-10,Q3,nh4_mgl,59.57142857142857
1988-07-12,Q3,k_mgl,0.6328571428571429
1988-07-12,Q3,mg_mgl,2.2592857142857143
1988-07-12,Q3,ca_mgl,2.710714285714286
1988-07-12,Q3,no3_mgl,134.66666666666666
1988-07-12,Q3,nh4_mgl,28.6
1988-09-13,Q3,k_mgl,0.6275
1988-09-13,Q3,mg_mgl,2.48875
1988-09-13,Q3,ca_mgl,3.33125
1988-09-13,Q3,no3_mgl,168.25
1988-09-13,Q3,nh4_mgl,41.75
1988-11-15,Q3,k_mgl,0.7366666666666667
1988-11-15,Q3,mg_mgl,2.66
1988-11-15,Q3,ca_mgl,3.815
1988-11-15,Q3,no3_mgl,191.33333333333334
1988-11-15,Q3,nh4_mgl,NA
1989-01-17,Q3,k_mgl,0.7688888888888888
1989-01-17,Q3,mg_mgl,2.8033333333333332
1989-01-17,Q3,ca_mgl,3.801111111111111
1989-01-17,Q3,no3_mgl,163.66666666666666
1989-01-17,Q3,nh4_mgl,NA
1989-03-21,Q3,k_mgl,0.7344444444444445
1989-03-21,Q3,mg_mgl,2.7355555555555555
1989-03-21,Q3,ca_mgl,3.9033333333333333
1989-03-21,Q3,no3_mgl,164.66666666666666
1989-03-21,Q3,nh4_mgl,NA
1989-05-23,Q3,k_mgl,0.7511111111111111
1989-05-23,Q3,mg_mgl,2.8066666666666666
1989-05-23,Q3,ca_mgl,3.7533333333333334
1989-05-23,Q3,no3_mgl,92.22222222222223
1989-05-23,Q3,nh4_mgl,NA
1989-07-25,Q3,k_mgl,0.81125
1989-07-25,Q3,mg_mgl,2.4344444444444444
1989-07-25,Q3,ca_mgl,3.6166666666666667
1989-07-25,Q3,no3_mgl,155.875
1989-07-25,Q3,nh4_mgl,NA
1989-09-26,Q3,k_mgl,1.4708333333333334
1989-09-26,Q3,mg_mgl,3.325454545454545
1989-09-26,Q3,ca_mgl,3.6163636363636367
1989-09-26,Q3,no3_mgl,444.625
1989-09-26,Q3,nh4_mgl,NA
1989-11-28,Q3,k_mgl,1.268888888888889
1989-11-28,Q3,mg_mgl,3.5666666666666664
1989-11-28,Q3,ca_mgl,5.1433333333333335
1989-11-28,Q3,no3_mgl,218.625
1989-11-28,Q3,nh4_mgl,NA
1990-01-30,Q3,k_mgl,1.4522222222222223
1990-01-30,Q3,mg_mgl,3.3755555555555556
1990-01-30,Q3,ca_mgl,4.81
1990-01-30,Q3,no3_mgl,381.77777777777777
1990-01-30,Q3,nh4_mgl,NA
1990-04-03,Q3,k_mgl,1.3478571428571429
1990-04-03,Q3,mg_mgl,2.6742857142857144
1990-04-03,Q3,ca_mgl,3.6885714285714286
1990-04-03,Q3,no3_mgl,352.3076923076923
1990-04-03,Q3,nh4_mgl,NA
1990-06-05,Q3,k_mgl,1.1855555555555555
1990-06-05,Q3,mg_mgl,3.3677777777777775
1990-06-05,Q3,ca_mgl,4.614444444444445
1990-06-05,Q3,no3_mgl,224.25
1990-06-05,Q3,nh4_mgl,NA
1990-08-07,Q3,k_mgl,0.9944444444444445
1990-08-07,Q3,mg_mgl,3.4522222222222223
1990-08-07,Q3,ca_mgl,5.593333333333334
1990-08-07,Q3,no3_mgl,151.77777777777777
1990-08-07,Q3,nh4_mgl,NA
1990-10-09,Q3,k_mgl,0.9339999999999999
1990-10-09,Q3,mg_mgl,2.934
1990-10-09,Q3,ca_mgl,5.102
1990-10-09,Q3,no3_mgl,155.11111111111111
1990-10-09,Q3,nh4_mgl,NA
1990-12-11,Q3,k_mgl,0.9460000000000001
1990-12-11,Q3,mg_mgl,3.08
1990-12-11,Q3,ca_mgl,4.6770000000000005
1990-12-11,Q3,no3_mgl,170.625
1990-12-11,Q3,nh4_mgl,NA
1991-02-12,Q3,k_mgl,0.79
1991-02-12,Q3,mg_mgl,3.772
1991-02-12,Q3,ca_mgl,4.788
1991-02-12,Q3,no3_mgl,146.3
1991-02-12,Q3,nh4_mgl,NA
1991-04-16,Q3,k_mgl,0.8922222222222222
1991-04-16,Q3,mg_mgl,3.243333333333333
1991-04-16,Q3,ca_mgl,4.216666666666667
1991-04-16,Q3,no3_mgl,56.142857142857146
1991-04-16,Q3,nh4_mgl,NA
1991-06-18,Q3,k_mgl,0.8588888888888889
1991-06-18,Q3,mg_mgl,3.535555555555556
1991-06-18,Q3,ca_mgl,4.447777777777778
1991-06-18,Q3,no3_mgl,118.625
1991-06-18,Q3,nh4_mgl,NA
1991-08-20,Q3,k_mgl,1.05
1991-08-20,Q3,mg_mgl,3.249
1991-08-20,Q3,ca_mgl,4.675
1991-08-20,Q3,no3_mgl,114.8
1991-08-20,Q3,nh4_mgl,NA
1991-10-22,Q3,k_mgl,0.8776923076923077
1991-10-22,Q3,mg_mgl,2.813846153846154
1991-10-22,Q3,ca_mgl,3.8207692307692307
1991-10-22,Q3,no3_mgl,167
1991-10-22,Q3,nh4_mgl,NA
1991-12-24,Q3,k_mgl,1.0333333333333334
1991-12-24,Q3,mg_mgl,3.13
1991-12-24,Q3,ca_mgl,4.888888888888888
1991-12-24,Q3,no3_mgl,179.55555555555554
1991-12-24,Q3,nh4_mgl,NA
1992-02-25,Q3,k_mgl,1.12
1992-02-25,Q3,mg_mgl,3.3511111111111114
1992-02-25,Q3,ca_mgl,6.21
1992-02-25,Q3,no3_mgl,127.375
1992-02-25,Q3,nh4_mgl,NA
1992-04-28,Q3,k_mgl,0.9355555555555556
1992-04-28,Q3,mg_mgl,2.73
1992-04-28,Q3,ca_mgl,4.054444444444444
1992-04-28,Q3,no3_mgl,115
1992-04-28,Q3,nh4_mgl,NA
1992-06-30,Q3,k_mgl,1.1411111111111112
1992-06-30,Q3,mg_mgl,3.263333333333333
1992-06-30,Q3,ca_mgl,4.682222222222222
1992-06-30,Q3,no3_mgl,44.888888888888886
1992-06-30,Q3,nh4_mgl,NA
1992-09-01,Q3,k_mgl,0.8933333333333333
1992-09-01,Q3,mg_mgl,3.2177777777777776
1992-09-01,Q3,ca_mgl,4.835555555555556
1992-09-01,Q3,no3_mgl,56.333333333333336
1992-09-01,Q3,nh4_mgl,NA
1992-11-03,Q3,k_mgl,1.0977777777777777
1992-11-03,Q3,mg_mgl,3.2466666666666666
1992-11-03,Q3,ca_mgl,4.528888888888889
1992-11-03,Q3,no3_mgl,40.285714285714285
1992-11-03,Q3,nh4_mgl,NA
1993-01-05,Q3,k_mgl,0.8122222222222223
1993-01-05,Q3,mg_mgl,3.0211111111111113
1993-01-05,Q3,ca_mgl,4.0377777777777775
1993-01-05,Q3,no3_mgl,207
1993-01-05,Q3,nh4_mgl,NA
1993-03-09,Q3,k_mgl,0.8122222222222222
1993-03-09,Q3,mg_mgl,3.571111111111111
1993-03-09,Q3,ca_mgl,4.424444444444444
1993-03-09,Q3,no3_mgl,129.125
1993-03-09,Q3,nh4_mgl,NA
1993-05-11,Q3,k_mgl,0.855
1993-05-11,Q3,mg_mgl,3.0637499999999998
1993-05-11,Q3,ca_mgl,4.31625
1993-05-11,Q3,no3_mgl,59
1993-05-11,Q3,nh4_mgl,NA
1993-07-13,Q3,k_mgl,0.8355555555555556
1993-07-13,Q3,mg_mgl,2.95
1993-07-13,Q3,ca_mgl,4.687777777777778
1993-07-13,Q3,no3_mgl,102.83333333333333
1993-07-13,Q3,nh4_mgl,NA
1993-09-14,Q3,k_mgl,0.8044444444444444
1993-09-14,Q3,mg_mgl,3.0775
1993-09-14,Q3,ca_mgl,4.526666666666666
